"";"x"
"1";"Alanine"
"2";"Arginine"
"3";"Asparagine"
"4";"Aspartate"
"5";"Gaba"
"6";"Glutamate"
"7";"Glycine"
"8";"Isoleucine"
"9";"Leucine"
"10";"Lysine"
"11";"Phenylalanine"
"12";"Proline"
"13";"Serine"
"14";"Threonine"
"15";"Tryptophan"
"16";"Valine"
"17";"alpha.Tocopherol"
"18";"beta.Sitosterol"
"19";"gamma.Tocopherol"
"20";"Eicosanoate"
"21";"Heptadecanoate"
"22";"Linoleic.acid"
"23";"Stearic.acid"
"24";"Tetracosanoate"
"25";"Quercetin"
"26";"Quercitrin"
"27";"X4MTB"
"28";"X5..methylthio.pentanenitrile"
"29";"X5MTP"
"30";"X6MTH"
"31";"X7MTH"
"32";"X8MTO"
"33";"BenzoylGlucosinolate.3Breakdown"
"34";"BenzoylX.Glucosinolate.3"
"35";"Hexanenitrile.6methylthio"
"36";"Nonanenitrile.9.methylthio"
"37";"Sulfite"
"38";"U2609.4.361"
"39";"U3122.4.202.I3M."
"40";"UGlucosinolate140.1"
"41";"UGlucosinolatebreakdown140.4"
"42";"H2SO4"
"43";"X2.Hydroxyglutarate"
"44";"X2.Oxoglutarate"
"45";"Citrate"
"46";"Erythronate"
"47";"Fumarate"
"48";"Galactonate"
"49";"Gluconate"
"50";"Glycerate"
"51";"Maleate"
"52";"Pentonate.4"
"53";"Sinapinate.cis"
"54";"Sinapinate.trans"
"55";"Succinate"
"56";"Threonate"
"57";"Allantoin"
"58";"beta.indole.3.acetonitrile"
"59";"myo.Inositol"
"60";"Sorbitol"
"61";"Xylitol"
"62";"Ethylphosphate"
"63";"Glycerol.3.P"
"64";"myo.Inositol.1.P"
"65";"Phosphate"
"66";"Anhydroglucose"
"67";"Arabinose"
"68";"Digalactosylglycerol"
"69";"Fructose"
"70";"Galactinol"
"71";"Galactose"
"72";"Glucopyranose..H2O."
"73";"Raffinose"
"74";"Rhamnose"
"75";"Ribose"
"76";"Stachyose"
"77";"Sucrose"
"78";"U1093.6.147"
"79";"U1124.3.140"
"80";"U1125.1.140"
"81";"U1127.5.140"
"82";"U1129.9.184"
"83";"U1154.3.156"
"84";"U1172.9.281"
"85";"U1270.1.240"
"86";"U1393.172"
"87";"U1408.4.298"
"88";"U1530.2.314"
"89";"U1559.4.217"
"90";"U1568.5.313"
"91";"U1617.8.146"
"92";"U1628.9.233"
"93";"U1647.2.403"
"94";"U1718.0.157"
"95";"U1767.3.243"
"96";"U1816.2.228"
"97";"U1852.0.217"
"98";"U1897.2.327"
"99";"U1904.9.204"
"100";"U1931.5.202"
"101";"U1983.0.217"
"102";"U1983.0.217.1"
"103";"U2012.7.361"
"104";"U2053.6.321.1"
"105";"U2076.9.204"
"106";"U2150.9.279"
"107";"U2170.6.361"
"108";"U2184.1.299"
"109";"U2197.2.494"
"110";"U2251.5.361"
"111";"U2261.0.218"
"112";"U2271.6.249"
"113";"U2278.6.361"
"114";"U2315.2.245"
"115";"U2371.1.361"
"116";"U2473.361"
"117";"U2513.2.296"
"118";"U2513.2.296.1"
"119";"U2529.8.361"
"120";"U2550.7.149"
"121";"U2688.5.333"
"122";"U2692.9.361"
"123";"U2756.4.271"
"124";"U2779.9.361"
"125";"U2798.377"
"126";"U2828.8.361"
"127";"U2839.3.312"
"128";"U2857.8.342"
"129";"U2882.5.297"
"130";"U2924.3.361"
"131";"U2942.2.556"
"132";"U3041.1.361"
"133";"U3080.7.361"
"134";"U3168.2.290"
"135";"U3188.1.361"
"136";"U3218.5.297"
"137";"U3279.7.361"
"138";"U3415.9.498"
"139";"U3701.368"
"140";"U1380.5.184"
